date_time,rentals,casual,registered,temp_c,feels_like_c,humidity,windspeed,weather,is_holiday,is_workingday
2011-01-01 00:00:00,16,3,13,3.28,3.0,81.0,0.0,clear,0,0
2011-01-01 01:00:00,40,8,32,2.34,2.0,80.0,0.0,clear,0,0
2011-01-01 02:00:00,32,5,27,2.34,2.0,80.0,0.0,clear,0,0
2011-01-01 03:00:00,13,3,10,3.28,3.0,75.0,0.0,clear,0,0
2011-01-01 04:00:00,1,0,1,3.28,3.0,75.0,0.0,clear,0,0
2011-01-01 05:00:00,1,0,1,3.28,1.0,75.0,6.0,misty,0,0
2011-01-01 06:00:00,2,2,0,2.34,2.0,80.0,0.0,clear,0,0
2011-01-01 07:00:00,3,1,2,1.4,1.0,86.0,0.0,clear,0,0
2011-01-01 08:00:00,8,1,7,3.28,3.0,75.0,0.0,clear,0,0
2011-01-01 09:00:00,14,8,6,7.04,7.0,76.0,0.0,clear,0,0
2011-01-01 10:00:00,36,12,24,9.86,10.0,76.0,17.0,clear,0,0
2011-01-01 11:00:00,56,26,30,8.92,6.0,81.0,19.0,clear,0,0
2011-01-01 12:00:00,84,29,55,11.74,12.0,77.0,19.0,clear,0,0
2011-01-01 13:00:00,94,47,47,13.62,14.0,72.0,20.0,misty,0,0
2011-01-01 14:00:00,106,35,71,13.62,14.0,72.0,19.0,misty,0,0
2011-01-01 15:00:00,110,40,70,12.68,13.0,77.0,20.0,misty,0,0
2011-01-01 16:00:00,93,41,52,11.74,12.0,82.0,20.0,misty,0,0
2011-01-01 17:00:00,67,15,52,12.68,13.0,82.0,19.0,misty,0,0
2011-01-01 18:00:00,35,9,26,11.74,12.0,88.0,17.0,light_rain_snow,0,0
2011-01-01 19:00:00,37,6,31,11.74,12.0,88.0,17.0,light_rain_snow,0,0
2011-01-01 20:00:00,36,11,25,10.8,11.0,87.0,17.0,misty,0,0
2011-01-01 21:00:00,34,3,31,10.8,11.0,87.0,13.0,misty,0,0
2011-01-01 22:00:00,28,11,17,10.8,11.0,94.0,15.0,misty,0,0
2011-01-01 23:00:00,39,15,24,13.62,14.0,88.0,20.0,misty,0,0
2011-01-02 00:00:00,17,4,13,13.62,14.0,88.0,20.0,misty,0,0
2011-01-02 01:00:00,17,1,16,12.68,13.0,94.0,17.0,misty,0,0
2011-01-02 02:00:00,9,1,8,11.74,12.0,100.0,19.0,misty,0,0
2011-01-02 03:00:00,6,2,4,13.62,14.0,94.0,13.0,misty,0,0
2011-01-02 04:00:00,3,2,1,13.62,14.0,94.0,13.0,misty,0,0
2011-01-02 06:00:00,2,0,2,11.74,12.0,77.0,20.0,light_rain_snow,0,0
2011-01-02 07:00:00,1,0,1,10.8,11.0,76.0,13.0,misty,0,0
2011-01-02 08:00:00,8,0,8,10.8,11.0,71.0,15.0,light_rain_snow,0,0
2011-01-02 09:00:00,20,1,19,9.86,10.0,76.0,15.0,misty,0,0
2011-01-02 10:00:00,53,7,46,8.92,7.0,81.0,15.0,misty,0,0
2011-01-02 11:00:00,70,16,54,8.92,6.0,71.0,17.0,misty,0,0
2011-01-02 12:00:00,93,20,73,8.92,6.0,66.0,20.0,misty,0,0
2011-01-02 13:00:00,75,11,64,8.92,7.0,66.0,9.0,misty,0,0
2011-01-02 14:00:00,59,4,55,8.92,7.0,76.0,13.0,light_rain_snow,0,0
2011-01-02 15:00:00,74,19,55,7.98,6.0,81.0,11.0,light_rain_snow,0,0
2011-01-02 16:00:00,76,9,67,7.98,6.0,71.0,11.0,light_rain_snow,0,0
2011-01-02 17:00:00,65,7,58,7.98,6.0,57.0,13.0,clear,0,0
2011-01-02 18:00:00,53,10,43,8.92,6.0,46.0,22.0,misty,0,0
2011-01-02 19:00:00,30,1,29,7.04,3.0,42.0,30.0,clear,0,0
2011-01-02 20:00:00,22,5,17,6.1,2.0,39.0,24.0,clear,0,0
2011-01-02 21:00:00,31,11,20,4.22,-1.0,44.0,22.0,clear,0,0
2011-01-02 22:00:00,9,0,9,3.28,-2.0,44.0,20.0,clear,0,0
2011-01-02 23:00:00,8,0,8,2.34,-1.0,47.0,11.0,clear,0,0
2011-01-03 00:00:00,5,0,5,2.34,-3.0,44.0,24.0,clear,0,1
2011-01-03 01:00:00,2,0,2,1.4,-5.0,44.0,28.0,clear,0,1
2011-01-03 04:00:00,1,0,1,-0.48,-7.0,47.0,26.0,clear,0,1
2011-01-03 05:00:00,3,0,3,-0.48,-7.0,47.0,19.0,clear,0,1
2011-01-03 06:00:00,30,0,30,-1.42,-9.0,50.0,26.0,clear,0,1
2011-01-03 07:00:00,64,1,63,-1.42,-7.0,50.0,13.0,clear,0,1
2011-01-03 08:00:00,154,1,153,-1.42,-8.0,50.0,19.0,clear,0,1
2011-01-03 09:00:00,88,7,81,-0.48,-7.0,43.0,26.0,clear,0,1
2011-01-03 10:00:00,44,11,33,0.46,-5.0,43.0,17.0,clear,0,1
2011-01-03 11:00:00,51,10,41,1.4,-4.0,40.0,22.0,clear,0,1
2011-01-03 12:00:00,61,13,48,2.34,-2.0,35.0,20.0,clear,0,1
2011-01-03 13:00:00,61,8,53,3.28,-2.0,35.0,19.0,clear,0,1
2011-01-03 14:00:00,77,11,66,4.22,-0.0,30.0,19.0,clear,0,1
2011-01-03 15:00:00,72,14,58,4.22,-0.0,30.0,17.0,clear,0,1
2011-01-03 16:00:00,76,9,67,4.22,-0.0,30.0,17.0,clear,0,1
2011-01-03 17:00:00,157,11,146,3.28,-1.0,30.0,15.0,clear,0,1
2011-01-03 18:00:00,157,9,148,3.28,1.0,32.0,7.0,clear,0,1
2011-01-03 19:00:00,110,8,102,1.4,1.0,47.0,0.0,clear,0,1
2011-01-03 20:00:00,52,3,49,1.4,-1.0,47.0,7.0,clear,0,1
2011-01-03 21:00:00,52,3,49,0.46,-3.0,64.0,9.0,clear,0,1
2011-01-03 22:00:00,20,0,20,-1.42,-6.0,69.0,9.0,clear,0,1
2011-01-03 23:00:00,12,1,11,0.46,-2.0,55.0,7.0,clear,0,1
2011-01-04 00:00:00,5,0,5,-0.48,-4.0,55.0,7.0,clear,0,1
2011-01-04 01:00:00,2,0,2,-0.48,-4.0,59.0,7.0,clear,0,1
2011-01-04 02:00:00,1,0,1,-1.42,-6.0,63.0,9.0,clear,0,1
2011-01-04 04:00:00,2,0,2,-1.42,-4.0,63.0,6.0,clear,0,1
2011-01-04 05:00:00,4,0,4,-2.36,-6.0,68.0,7.0,clear,0,1
2011-01-04 06:00:00,36,0,36,-2.36,-6.0,74.0,7.0,clear,0,1
2011-01-04 07:00:00,94,2,92,-2.36,-6.0,74.0,9.0,clear,0,1
2011-01-04 08:00:00,179,2,177,-1.42,-6.0,69.0,11.0,clear,0,1
2011-01-04 09:00:00,100,2,98,-0.48,-6.0,64.0,15.0,clear,0,1
